Lyrics,Mood
"Se dico quello che penso
Non resta neanche un amico
Sono una merda, confesso
Se penso a quello che dico (ah)
Perdonami (yeah)
Perdonami (yeah)
Perdona, perdona, perdonami (ah)
Perdonami (yeah)
Perdonami (yeah)
Perdona, perdona, perdonami (hey)

I rapper di ora si vestono male (yeah)
E cantano male (yeah)
E più fanno schifo, più sale la fama (yeah)
Ti sembra normale? (ah)
È come se adesso ti vomito in faccia (yeah)
Ti passa la fame (ah)
Le tipe che schiacci non le farei toccare
Neanche dal cazzo del cane (hey)
È meglio se fuggi (ah)
Tu non c'hai la stoffa, bro, taglia e ricuci (ah)
In Italia nessuno lavora, ma rubano in casa
E poi vanno da Gucci (uh)
E cazzo ti ostenti (uh)
Se vivi di stenti (hey)
Sei un tipo stipato che sogna stipendi (hey)
Staccare gli assegni
Pirata ai Caraibi (ah)
Ho un flow da karate, ti levo i carati dai denti (ah)
Uno schiaffo e ti svegli
Problemi al cervello, bro, spegni e riaccendi
Spegni e riaccendi
Sabato sera (brr)
Dopo le quattro hai la faccia di cera
Vacanze in riviera
Leccando una figa pisciata che sa di ringhiera
Chi accende le radio è un over 50, si pompa gli Stadio
Poco evoluto, va ancora allo stadio
Un vero cornuto non guarda mai dentro l'armadio
Male male. Tutto bene? No, male male
Tutto bene? No, male male, male male
Male male, hey (hey)

Scrivo più chiaro possibile (ah)
Se non capisci, riassumo (yeah)
Bravo, hai una mira infallibile (ah)
Ma non colpisci nessuno (hey)

Perdonami (yeah)
Perdonami (yeah)
Perdona, perdona, perdonami (ah)
Perdonami (yeah)
Perdonami (yeah)
Perdona, perdona, perdona

Perdona il peccato (uh)
Ricorda il mio nome (ah)
Sei il tipo sfigato che sogna di fare l'attore
Peccato, sei quello che muore (ah)
Fa-fa-farò la veglia (ah)
Quando suona la sveglia (ah)
Io non posso andare in tele, perché se ci vado
Poi mi parte la bestemmia (oh ma porco D**)
Pardonne moi, pardonne moi
Hai fegato, brah, pâté de foie
Se riesci a distinguerti in questa città
Sei come una zebra a pois (yeah)
Anche se smetto col fumo (ah)
Ti ascolto, mi sembri qualcuno (yeah)
Scusa la spocchia, io sono uno
Voi centomila nessuno (hey)

Se dico quello che penso
Non resta neanche un amico
Sono una merda, confesso
Se penso a quello che dico (hey)
Perdonami (yeah)
Perdonami (yeah)
Perdona, perdona, perdonami (ah)
Perdonami (yeah)
Perdonami (yeah)
Perdona, perdona, perdonami (hey)

Scrivo più chiaro possibile (ah)
Se non capisci, riassumo (yeah)
Bravo, hai una mira infallibile (ah)
Ma non colpisci nessuno (hey)
Perdonami (ah, yeah)
Perdonami (ah, yeah)
Perdona, perdona, perdonami (hey)",Happy
"Ah, yeah, Lebon al mic
Ah, ah, yeah, yeah, yeah

Entro, spacco, esco, ciao

Manager: Mmh, non male, ma non credo possa funzionare questo tipo di brano, signor?
Salmo: Salmo
M: Ecco, si. Oggi il mercato ha bisogno di una formula immediata, fulminea, solerte, subbitanea
S: Mmhmh, ok
M: Mi serve qualcosa di funzionale, al passo coi tempi, lo capisci?
S: Certo
M: Immagina, un bel brano reggaeton, eh? Che ne dici?
S: Reggaeton?
M: Esatto, vedi che siamo in sintonia? Io e te potremmo fare grandi cose insieme, io credo in te, noi crediamo in te.
S: Ok, ci provo

Mueve la colita, bonita
Mamacita, margarita, sborra señorita
Ho preso la colite, colite
La chica senza tite, c'ha le morosita
Dimmi dimmi dimmi dimmi dimmi chi è il chapo
Dimmi dimmi dimmi dimmi dimmi chi è il chapo
Dimmi dimmi dimmi dimmi-ridimmi, dimmi-ridimmi, dimmi-ridimmi, ridimmi ridimmi ridimmi ridimmi chi è il chapo

No, no, no, no, no, non è assolutamente plausibile, e poi tu non sei molto latino nella tua formazione, anzi sei un po'. palliduccio
Ma. Ma lei prima aveva la R moscia, non la S
Non so di cosa tu stia parlando bello
Vabe
Sei un tipo strano, tu, signor Sandro.
Salmo
Ecco, si, Salmo, quello che è. Senti, ho un'idea, perché non provi a fare qualcosa di senile, qualcosa di longevo, attempato
Cioè, musica classica?
No, no, no, no, no, mi riferisco al rap anni 90, eh? Che ne dici?
Vabbé, ci provo

Yaoh, se, sono tornato, Mascella Crew, ah, 1-9-7-2, senti

Quando entro con la rima spacchiusina
Tutti su le mani come una rapina, rapina
Mi agito, tattico, apatico, magico, pratico
M'arrampico sull'attico e mi butto un acido lattico, (blaow)
Sono un poeta come Fitamuna
Guerriero del cemento come Johnny Pampuna
Ho gli artigli come il Puma, c'ho le scarpe Puma
Quindi piglia un po' sto cazzo e fuma!

No, no, no, no, no, io non posso tutelarti se tu tratti questo tipo di tematiche. e i ragazzini che ti ascoltano? Che diranno?
Ehh...
Qual è il tuo messaggio? Dov'è la poesia?
Ma, ma io in realtà...
Ma io niente, caro il mio Salvo
Salmo
Si, si, Santo, quello che è.
Vabe
Io so che tu hai il fattore X, me lo sento, me lo sento dentro. E finchè, non mi farai, vedere, quello che hai veramente dentro, io. BRRRR
Stia calmo, si calmi
Prova a farmi emozionare, mostrami il tuo cuore. Fammi capire che i miei soldi, sono spesi bene. eh? Che ne dici?
S: Ok, si, signore, ci provo

Baby, muah
Ho scritto una canzone per teeee
Amore cosi grande, tutto quello che hai bisogno teeee
è proprio qui, nelle mie mutandeee ehh
Amore guarda il cielo è così, grande
Cielo grande, cielo grande, cielo grande. (tututurudu)
Amoreee, sento un po' di odore
Amoreee (puttana), lo senti sto fetoreeee
Tututurudu.",Sad
"Non posso tormentarmi ormai non posso uscire
Vengono a trovarmi prima di dormire
Vengono a trovarmi prima di dormire

Oh, ho gli occhi spenti, il fumo in bocca, vedo le anime
I fantasmi sulle strade, i loro corpi nelle macchine
Se, muovo i santi nei muri appesi è telecinesi
Vedo doppio fumo il triplo
Noi bastardi come Cripol
Sbocco, sputo sangue, aspetto che dio mi senta
Mi costringono a sognare ad occhi aperti e con la luce spenta
La gente ancora spera, ha le mani strette in preghiera
Sputtanano stipendi in una sera, i figli in galera
Una vita intera che provano a dare il meglio
E' un miracolo se sabato in macchina resti sveglio
Bambini morti in ventre e gli altri vivono poco
Ogni generazione odia quella che viene dopo
Vivono al massimo da mezzagiornata
Qua, trattieni il fiato respiri l'aria sbagliata
Check, vogliono libertà, chiedono libertà
L'hanno cercata dentro un after di domenica
Ed ogni sabato è una rissa in pista
Si sgomita volano nasi al tempo di Areamito & Diabolika
Quanti saluti m'hanno levato
E chi, mi saluta di lato
Come lo schiaffo del soldato
Non sei cambiato
No, sei sempre il cazzo di tipo fallito
Seduto comodo sopra al mio terzo dito
Su quel sorriso bugiardo di un disperato
E per quanto possa urlare la voce non supera l'isolato
Non sai chi sei e se lo sapevi l'hai scordato
E piangi a quarant'anni con chi ti ricorda il passato

Scrivo versi tra i non morti nella fase rem
Vivo autodepressivo e note requiem
Se non riesco a dormire
E' perchè sto cercando una canzone perfetta per morire

Guardiamo il mondo da finestrini oscurati
E nessuno ci nota, muoriamo dentro affogati
Odio il sistema, odio lo schema
Sto sul cazzo a pelle, no problema
Ti salgo in testa come svarioni da piena
Odio lo stadio, odio le radio
105, RTL
Mi sollevo in aria esplodo tra le stelle
Mi dicono fai presto il tempo passa fallo affinchè ti sentano
Ma il punto è che dove passo gli orologi rallentano
Mi chiamano Lebon come Simon
E faccio questa merda da quando giravo in pattini e lo zaino
Dove, finisce uno strumento iniziano le mie dita
Per cantare ciò che sento non mi basta una vita
Mi sembra chiaro il fatto che non hai capito
Per sentire ciò che canto non ti basta l'udito
Ho una canzone in testa ho deciso
Mi vedrai morire adesso con un quarto di sorriso

Non posso tormentarmi ormai non posso uscire
Vengono a trovarmi prima di dormire

Scrivo versi tra i non morti nella fase rem
Vivo autodepressivo e note requiem
Se non riesco a dormire
E' perchè sto cercando una canzone perfetta per morire

Prima di dormire
Prima di dormire
Prima di dormire
Una canzone perfetta per morire",Sad
"Prega per me, prega per me
Prega per me, prega per me
Prega per me, prega per me
Ehi, ehi

Oggi non mi pento, domani forse
Strofino la coscienza sulle mani sporche
Droghe nel mio co', droghe nel mio cocktail
Non la passo mai, ho le cartine corte
Il tuo mestiere è fare lo YouTuber
Non era meglio se vendevi il fumo?
Sono sempre fuori come un Uber
Ma giuro che non aspetto nessuno
Bambini idioti come Lil Xan
Sciacquatevi la bocca con il Dixan
Quando parlate della mia fam
Volano testate come Zidane

Pregherai per me quando non ci sarò
Io non ho paura della morte
Sono uno scrittore, no, non morirò
C-c-c-ci sarò sempre
C-ci sarò sempre
Prega per me, prega per me (eh)
Prega per me, prega per me (eh)
Prega per me, prega per me (eh)

Ehi, cammino barcollante, sembro alcolizzato
Dio non mi risponde ma ha visualizzato
Se penso ad Asia Argento sono ricco dentro
Perché manco se mi paga glielo ficco dentro
I rapper che fanno i fenomeni in studio
Ma non sanno fare uno show (ehi)
Ho un milione di buone ragioni
Per dire di no ad un talent show (ehi)
Io non torno indietro come il karma
Perché sì, hanno preso la mia calma
Fortuna che spesso collasso
Perché faccio il passo più lungo della canna
Spendi in catene, bracciali
Le borse, gli occhiali, in ciabatte Supreme (ehi)
Locali, puttane, ruffiane e ruffiani, sì, fatemi uscire di qui (ehi)
Sarà questa moda che cambia
Aspetta, fra' ti dico: ""Ferma""
Io non sono il nuovo che avanza
Sono il vecchio che si riconferma

Pregherai per me quando non ci sarò
Io non ho paura della morte
Sono uno scrittore, no, non morirò
C-c-c-ci sarò sempre
C-ci sarò sempre
Prega per me, prega per me (eh)
Prega per me, prega per me (eh)
Prega per me, prega per me (eh)

C-c-c-ci sarò sempre
C-ci sarò sempre",Sad
"Non è la cresta a fare il punk! I baggy a fare il rap!
Il clap che fa il club! ""live fast ... die young"" !
Rap Huligans, Salmo docet.
Perdo il filo del concept, perdo la memoria dopo 20 once /

non smettere di correre, scrivi e cerca tra la coltre
siamo solo un soffio sotto la polvere
valiamo esattamente quanto ciò che cerchiamo
chi lascia un segno non è umano come i cerchi nel grano /

La miseria vi sorride con i denti doro. Siete sordomuti in coro.
Tagliati i capelli e cercati un lavoro!
finto alternativo, selettivo
questa merda la descrivo esattamente in base a come vivo.

l'infanzia sopra i roller, H.C. come i fratelli Cooller
sto agitato come in disco un techno-folle.
la mia macchina è una sala prove
giro da solo, provo le strofe ... non saluto nessuno perché ho la testa altrove!

vita mondana, plana a fine settimana
tua moglie, collana in perla, per la faccia da puttana!
posti scic, vesti slick abbinato per quell'habitat
figa la tua macchina e non giri con chi capita.

Fighe di legno con i mostri affianco
su una mustang, vi vedo fare i boss in disco senza un soldo in tasca
se non hai soldi è sicuro, non sei nessuno.
ma se sei qualcuno è perché devi soldi a qualcuno!

mai come voi, il contrario di come vorrei ... il contrario di come mi vuoi!
mai come voi, il contrario di come vorrei ... il contrario di come mi vuoi!

PRENDIMI COME TI VIENE, COME SONO.
E SCUSAMI SE ALZO IL TONO MA NON RAGIONO PIU.
SONO FUORI DI ME, FUORI DI ME, FUORI DI ME!

Beat maker sense beat, senza flow, senza swing
rap slayer, piove sangue come Kerry King.
strizzo cervelli, psico-analisi tra i versi
parole nelle immagini come, da londra, Banksy!

sto nella testa dei depressi, pallidi
passo la vita a suonare nei locali più squallidi.
La provvidenza è un'occhio che mi sorveglia
""è la fame di fama che ci tiene la mente sveglia"" !

febbre da banconote, suonano senza note
sto contro il muro, no-futuro come Johnny Rotten!
guardando gli altri ho imparato a restare in volo
non darmi consigli , so come sbagliare da solo.

spunto da banchi di fumo,
è come il sistema binario, tra gli 0 cerca di essere il numero 1!
se non hai soldi è sicuro, non sei nessuno.
ma se sei qualcuno è perché devi soldi a qualcuno!

mai come voi, il contrario di come vorrei ... il contrario di come mi vuoi!
mai come voi, il contrario di come vorrei ... il contrario di come mi vuoi!

PRENDIMI COME TI VIENE, COME SONO.
E SCUSAMI SE ALZO IL TONO MA NON RAGIONO PIU.
SONO FUORI DI ME, FUORI DI ME, FUORI DI ME!",Sad
"Se rimo fondo il tempo, senti il jet lag
Suono col pletro del destino tipo Jack Black
Fanculo il jet set non faccio Hit per teenager
Moriremo da leggende dopo Heat Ledger
Muovo la testa come chi acconsente
Fingo un mestiere come chi è al call center
Sono scimmiato tipo: ""e tu già al bar?""
Quando rappo sembro negro come Abdul-Jabbar
Schiaccio in faccia slam dunk da i 3
Se performo mi trasformo flow Daitarn 3
Hardcore, BLACK FLAG. Giro lo snap back
Chiudo le rime col machete, redneck
Hai mai sentito del mio crew?
Forse l'hai sentito da quando non danno più il rock alla tv
Sotto shock, sotto stress, sotto come Loch Ness
Con il mic, distorsione sociale, chiamami Mike Ness
No status symbol sposato con il rap e mai stato single
Facci l'abitudine, la gente sà che l'attitudine da cui attingo
E' così forte che, se rimi, mi stai dietro come Paolini e Mingo
Spingo come extra sotto casa. Gringo, que pasa?
Mando M.C. al tappeto, e dillo a Rocky Asap
King come Mufasa, fai la muffa a casa
Sempre attaccato alla play , ti sei scordato chi sei?
Ho una fattanza bluray, fumo e vedo oltre i miei
Limiti, consenti? ""en plein""?! sono io nella tua testa in replay
Mi chiamo salmo, mi manda il signore per risparmio
One… Two … Three … cambio!",Sad
"Suono solo per i soldi
Lo faccio solo per i soldi
Vivo solo per il grano
Solo per il cash
Suono solo per i soldi
Lo faccio solo per i soldi
Vivo solo per il grano
Solo per il cash

Sai che cazzo me ne frega a me
Questo jet è il mio privé
Di 'sta mhh sono il fiancé
Questa mhh sembra Beyoncé
Sono G come Sinatra
Il mio live è una sfilata
Sempre pronto per il payback
Nel locale 30K per un playback
Così tante fatture, che il fisco è felice
“Bravo”, dice “Fai pure”
Ho così tanti contanti
Che piscio da seduto con le mani sui fianchi
Ho un'orchestra nel capo, Micalizzi
Chi fa il colpo di stato ha i vitalizi
In città sono il capo, mica Nizzi
Giro corazzato tipo Grizzly
Mon frère, il mio conto è così gonfio, è un Moncler
Per la figa, per il calcio e il Dom Pér
Non per niente qui mi chiamano il bomber (bella bomber!)

Oh mio Dio, sono proprio quello
Che quando arriva gli apri lo sportello
Sono fico e sono bello, fotomodello
E cavalco queste cagne come Sborriello (ahahah)

Suono solo per i soldi
Lo faccio solo per i soldi
Vivo solo per il grano
Solo per il cash
Suono solo per i soldi
Lo faccio solo per i soldi
Vivo solo per il grano
Solo per il cash

Sono il Cristo che moltiplica gli zeri
Ma un miracolo non basta perché, sai, ne voglio ancora
E la vita è così triste
Che mi asciugo queste lacrime con banconote viola
Voglio tutto e subito
Fumo finché non divento tutto stupido
Meglio non sapere, infatti io non dubito
A chi mi chiede qual è il mio lavoro dico: “Torno subito”
Ciò che brilla mi attira, ho la testa che gira
Dai tempi del “Non c’ho una lira”
Se ho il broncio mi compro una Beemer, la villa a Cortina
Bro il tempo è denaro, non chiudo la -
Se conto 'sti fogli poi faccio mattina
Mi sveglio e ho più fame di prima
Interni in pelle con i cerchi d’oro
Giro sulla mia nuova autostima
Cayman, Ray-Ban, Cayenne, Daitarn
Mi trasformo quando performo
Coi capelli gialli tipo Saiyan

Suono solo per i soldi
Suono solo per i soldi
Suono solo per i soldi
Suono solo per i soldi
Suono solo per i soldi
Vivo solo per il
Vivo solo per il
Vivo solo per il grano
Solo per il cash",Sad
"Raduno head banger, punk, raver, fans, hater
Salmonlebon mette schiene a terra, Undertaker
La mia è una pubblica opinione, Mannheimer
Questa vista va vissuta d'un fiato, Chet Baker
Quanti cambiano stato dopo il diploma
Chi vive in un privè col mito di Corona
Chi pensa di capire tutto ma non sa come funziona
Chi governa il mondo non si espone mai di persona
Bravo chi intuisce, sta nel suo, aspetta e colpisce
Siamo pedine nella scacchiera di Bobby Fischer
Ti hanno promesso mari e monti
Ma è meglio che ti smonti
Di male in peggio Berlusconi, Mario Monti
Stiamo sugli attenti con il senso del decoro
Lavori e ti paghi la macchina per andare a lavoro
Stanno chiusi in casa, si sentono sicuri
Ma la verità è in strada, è scritta sopra i muri

Ferma questa notte a quattro zeri
Faccio le scale a testa in giú come Emily Rose
Stanotte non torni, nasconderemo i corpi
Da me vogliono il sangue? Gli ho portato Rob Zombie

Quando ho iniziato questa merda ho fatto il sangue amaro
Ho pagato caro, adesso prima parlo di denaro
Volete il mostro per metterlo in mostra
Ma se mostri il vero stato finisce che il mio mostro fa strage al teatro
Prendi i posti in poltronissima pe' avè l'ebrezza
Provare il flusso caldo il sangue nella sua bellezza
Provare il tiro fino a dove arriva
Il corpo de sti stronzi riversato sulla riva
L'armata non arretra, il crew nel blu penetra
La tua faccia si scartavetra grinda sulla pietra
Servito solo in zona mia
Quando domando il tetra, Gully o Gaza
Strillano ""vai zombie"" se passamo in piazza
Ormai non resta altro che speralo
Chiedi questo freak show, come pensi di pagarlo
Sta merda arriva diritta giù da sotto terra e va di moda
Contro mano su una vecchia sierra in testacoda
Mauri vai broda

Ferma questa notte a quattro zeri
Faccio le scale a testa in giú come Emily Rose
Stanotte non torni, nasconderemo i corpi
Da me vogliono il sangue? Gli ho portato Rob Zombie",Sad
"Ah yeah yeah, machete flow, lebon

Dio mi parla nel sonno dice dividi le masse
dividi le masse conquista la folla come Russel Crow
fatti una doccia di merda da queste casse
dimmi hai mai sentito del machete flow?

Salgo sul palco con il mitragliatore shu
proiettato come shakur
girava voce che son morto in tour
la fama distruttiva come sex pistols
la truffa più bella dopo quella di Cristo
parlami all'orecchio buono ricodami quale sono
in mezzo a questi timorati in fila per il perdono
di questi tempi non avere fede è un dono
la chiesa è come un cult l'assassino è sempre il maggiordomo
tu mi capisci bene in pratica sai come sono
ti giuro salgo in macchina e non so mai dove suono
lasciami 15 fottuti minuti da solo
nell'anonimato il contrario di Andy Warhol
Hai notato come tutto è cambiato più o meno
se hai talento nel canto non c'andare a sanremo
per mano di qualcuno esposto agli scandali
ci troveremo a 30 anni con ... psicofarmaci

Dio mi parla nel sonno dice dividi le masse
conquista la folla come Russel Crow
fatti una doccia di merda da queste casse
dimmi hai mai sentito del machete flow?
Se bastasse una sola canzone
per dirti quanto è inutile andare in un talent show
si potrebbe chiamarla per nome
MA-CHE-TE FLOW

Ah, scrivilo su twitter qui per un
posto comodo si strappano la pelle come Jeepers Creepers
Salmo Get Hyper al mio concerto non portarti
tuo padre, tua madre la babysitter
tua figlia quando canta è una gallina
si è fatta i capelli fluo (fluo)
con la vicina ha fatto un duo
sogna tra le stelle del pop
carichiamo questa troia sulla via del talent show
siamo in cerca di attenzioni
spesso chi le trova finisce a fare i conti
con un amore psiche come Canova
se la fama ti ingoia fai sì che il nome tuo
ricordi sempre il presente anche dopo che tiri le cuoia
la situazione odierna è che
siamo freddi dietro schermate
come no contatto della scherma e se
ti addormenti tra le mani della folla
ti regalano il successo
quando succede giù crolla
AHHHHHHHHHHHHHHHHHHHH


Dio mi parla nel sonno dice dividi le masse
conquista la folla come Russel Crow
fatti una doccia di merda da queste casse
dimmi hai mai sentito del machete flow?
Se bastasse una sola canzone
per dirti quanto è inutile andare in un talent show
si potrebbe chiamala per nome
MA-CHE-TE FLOW flow flow flow flow flow",Sad
"Se tu fossi me, saresti come loro...
No no, nel senso come gli altri...
Finiresti per spiarmi da un foro nudo mentre indosso questi panni per lavoro!
Giuro, sono un disoccupato nei suoi anni d'oro.
E il futuro è solo opaco, lasciato in segreteria,
""Play"", farei la fila dei problemi giusto per dire la mia.
Dovrei bruciare tutti i miei vestiti,
Scendere in strada come i travestiti,
Godermi lo spettacolo alla fine del mondo, ci siamo divertiti.
Ma dai! Non può piovere per sempre meteoriti...
Non ho bisogno di muovermi, perché sai, magari
Da fermo viaggio in tutto il globo come Salgari.
Ho il rap multitasking e skills palmari,
Quest'erba mette in silenzio in macchina, un safari in bocca.
Tocca a me parlarti, incantarti,
Dirti che i sacrifici pagano in contanti...
Questa generazione non crede ai politici o ai Santi,
Credono soltanto ai cantanti!

Potresti dirmi che sapore ha leccarsi le ferite,
Puoi fermarmi come il sangue che espelli,
Ora più che mai riconosci il nome,
Se non capisci, vai, ti faccio uno spelling:
Salmo!
S-A-L-M-O-O-O-O
Se tu fossi me!
S-A-L-M-O-O-O-O
Se tu fossi me!

Se tu fossi me, faresti come tanti...
Scriveremmo i nostri nomi sugli specchi
E se, lo faremo con la punta dei diamanti
È per sentirci importanti quando saremo vecchi.
Ma sai che me ne fotte a me dei soldi?
Io ho solo due motivi e credimi, gli unici.
Il primo è sopravvivere ancora nei tuoi ricordi,
Il secondo è vedervi qui sotto con gli occhi lucidi.
Incontrarci a mezz'aria se qualcosa va storto,
O sono l'aria oppure sono morto (oppure!),
Oppure è la mia stanza che varia e mi fa dormire storto.
Svegliarmi col fiato corto e il tuo fiato sul collo.
Perché il paese è vacuo,
Tagliano i ponti ma sbagliano,
Cammineremo sulle acque con Dynamo,
Verso il nulla come i cani che abbaiano,
Sono felice solo ora che sanguino!

Potresti dirmi che sapore ha leccarsi le ferite,
Puoi fermarmi come il sangue che espelli,
Ora più che mai riconosci il nome,
Se non capisci, vai, ti faccio uno spelling:
Salmo!
S-A-L-M-O-O-O-O
Se tu fossi me!
S-A-L-M-O-O-O-O
Se tu fossi me!

Dietro vetri oscurati e spessi,
Volti trascurati, soli depressi...
Tristemente scritto dagli stessi,
Amici trasparenti nel conflitto d'interessi!
Odio le culture in musica,
Come che andate in giro nudi sotto la tunica!
Epico il destino, tu mi sa non sai suonare,
La tua tipa ha il culo a mandolino.
Non eri tu quello che giudica?
Un bacio a tutti come Giuda,
Vivi nella paura,
Vedi Massoni nel Triangolo delle Bermuda.
Sento canzoni crepuscolari, Neruda.
Se crepo, scusa, il sacrificio chiede carne cruda.
Senza pelle nuda, come Dio ti vuole,
Sangue freddo come rettili al sole.
Tu dimmi quando e dove,
Ti dico quanto e come,
ESSE-A-L-EMME-O
Riconosci il nome?

Potresti dirmi che sapore ha leccarsi le ferite,
Puoi fermarmi come il sangue che espelli,
Ora più che mai riconosci il nome,
Se non capisci, vai, ti faccio uno spelling:
Salmo!
S-A-L-M-O-O-O-O
Se tu fossi me!
S-A-L-M-O-O-O-O
Se tu fossi me!",Happy
"Sangue dagli occhi e il cuore che fa
L’ansia mi spezza a metà e mi fa
Schiacciami a terra mi piacerà
Sadico, sadico

Hardcore con la tripla X
Chiama il triplo six
In giro dai tempi dei bombing sulla BMX
Chi è il king supremo?
Spingo il rap all'estremo: HC
Chi ti aspettavi? Morgan Ics scemo
Io che non ho mai cercato un’escamotage
Vai con Dio: adieu, adios, bon voyage
Jeff Dahmer del rap
Strappo cuori faccio collage
Exploit tra Satana e Dio in un ménage à trois
Ho la fobia sociale, scrive la ragione
Sta gente non vuole un messaggio ma solo una distrazione
Dalla malavita e malainformazione
Uguale... credi più alla nazionale che alla nazione
Corro sulla fascia tipo un pazzo in manicomio
Per la mafia nel calcio sono il conte come Antonio
Ho scommesso il mio fottuto patrimonio
Mi spoglio dei peccati perché siamo nudi agli occhi del dem**** [demonio]
Il cuore è sadico
Tra le fiamme come inferno islamico
Bruciamo in fretta tra sorrisi e attacchi di panico
Finché la voce mi regge giuro non mollo
Voglio sentire questa merda e perdere il controllo
Trascinarti qui, giù tra i disagiati
Balleremo sporchi e sudati
In mezzo agli scoordinati
Sarò bambino a mezzanotte, al mio ritorno
24 ore per morire, vivo solo un giorno

Sangue dagli occhi e il cuore che fa
L’ansia mi spezza a metà e mi fa
Schiacciami a terra mi piacerà
Sadico, sadico

Sangue dagli occhi e il cuore che fa
Pazzo cannibale in libertà
Mangerò il cuore a questa città
Sadico, sadico

A giorni sadico altri masochista
Amo toccare il fondo come un sub, e vado giù, ho su una bombola piena di mista
Ho un posto giù all'inferno ma non c'ho rimorsi
Ho tolto giorni alla mia vita e ho aggiunto vita ai miei giorni
Malasorte, odio la gente
Poco mi sconvolge, sabbie mobili fatte di niente
Che se ne accorge solo chi esce da sto falso gioco insulso
Dio, fa che se crepo non ne parli quella stronza di Barbara ***** (d'Urso)
Fa che scompaia
è un paradosso: c'ho la terra sotto i piedi eppure ho un peso che schiaccia
Sadico come il foglio, la vita più bastarda
Che ingravida di un sogno e fa abortire a calci in pancia
Dammi una traccia e farò a pezzi i miei ricordi
Sopra il tavolo coi ferri
Messo al muro ai ferri corti
Sempre stato pronto ai colpi
Pronto a sanguinare
Resta da parlare
Glielo lascio fare a un pubblico di sordi

Sangue dagli occhi e il cuore che fa
L’ansia mi spezza a metà e mi fa
Schiacciami a terra mi piacerà
Sadico, sadico

Sangue dagli occhi e il cuore che fa
Pazzo cannibale in libertà
Mangerò il cuore a questa città
Sadico, sadico",Sad
"Ho perso tanto tempo appresso al nulla cometa SENZA meta, pensando che i problemi fossero una burla la faccia poco furba, cupo ribelle, scuro di pelle cercando il rettilineo in ogni curva snerva, il rapper SENZA live che si presenta sempre puntuale tipo timer sì che sono chiacchiere hombre, zitto e fai rap sento qualche traccia e dopo spero nell‘Alzheimer mai SENZA Tyler.
En?gma,
 il punto di domanda è firma quando rimo è capogiro tipo dopo un sisma con sta tele-catalessi viene un aneurisema catallizzo questi fessi con un cataclisma aforisma da incidere: ""dovremmo morire tutti per dopo imparare a vivere"" ‘sta saluta già mi inizia a sfuggire sfatti, ma senza la paura di fuggire sire, questa Machete ti sventra, la mente è aperta nuova scuola qua, chi cl ferma?
Sì che mi distruggo con l'erba c'ho mille crucci qui in testa ma faccio incastri a livelli di cruciverba merda, tu fuori dalla moltitudine mi fai del male e non ci fai mai l'abitudine Lebon col beatbox che suona levati di torno finta Pretty Woman hola, hombre soy SENZA rispetto facciamo per davvero ciò che dici per scherzo non parlare delle cose meglio provale SENZA che giuri il falso come i medici ad Ippocrate.",Sad
